City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
204,Faya,SA,18.3851,42.4509,55.92,85,5,3.31,clear sky,2022-03-14 01:31:18
205,Dulce Grande,MX,23.0,-102.1667,68.43,14,3,16.51,clear sky,2022-03-14 01:31:19
206,Maragogi,BR,-9.0122,-35.2225,79.12,81,100,5.48,overcast clouds,2022-03-14 01:31:19
207,Farafangana,MG,-22.8167,47.8333,74.52,86,74,2.33,light rain,2022-03-14 01:31:20
208,Linxia,CN,35.6003,103.2064,47.39,38,0,2.19,clear sky,2022-03-14 01:31:20
209,Chulman,RU,56.8479,124.9104,1.63,93,100,0.76,overcast clouds,2022-03-14 01:31:21
210,Ponta Do Sol,PT,32.6667,-17.1,55.06,71,72,26.64,broken clouds,2022-03-14 01:31:21
211,Koumac,NC,-20.5667,164.2833,84.07,71,100,2.95,overcast clouds,2022-03-14 01:31:22
212,Laguna,US,38.421,-121.4238,66.76,40,0,4.61,clear sky,2022-03-14 01:31:22
213,Seminole,US,28.7086,-81.2081,57.56,81,0,11.5,clear sky,2022-03-14 01:30:49
214,Belyy Yar,RU,53.6039,91.3903,3.09,66,0,11.18,clear sky,2022-03-14 01:31:23
215,Oum Hadjer,TD,13.2954,19.6966,75.54,16,91,9.44,overcast clouds,2022-03-14 01:31:24
216,Te Anau,NZ,-45.4167,167.7167,69.96,46,39,1.7,scattered clouds,2022-03-14 01:31:24
217,Broome,US,42.2506,-75.833,27.46,74,100,10.36,overcast clouds,2022-03-14 01:31:24
218,Tsumeb,NA,-19.2333,17.7167,64.0,94,100,2.28,light rain,2022-03-14 01:31:25
219,Antalaha,MG,-14.9003,50.2788,73.87,88,89,5.61,overcast clouds,2022-03-14 01:31:25
220,Northam,GB,51.0333,-4.2167,42.62,92,45,5.93,scattered clouds,2022-03-14 01:31:26
221,Yumen,CN,40.2833,97.2,48.88,31,100,4.85,overcast clouds,2022-03-14 01:31:27
